,Year,Quarter,District_name,User_Count,Amount
0,2018,1,bengaluru urban,8306513,14162750303.06484
1,2018,1,pune,3842929,5378982326.835919
2,2018,1,central delhi,2997714,4312145216.274474
3,2018,1,mumbai,2671029,3923116793.952079
4,2018,1,chennai,2656230,4281137762.522443
5,2018,1,hyderabad,2545507,4287223789.76588
6,2018,1,jaipur,2417174,2953086960.1413727
7,2018,1,birbhum,2125816,2520486412.452376
8,2018,1,kolkata,2043129,2753347660.1429114
9,2018,1,bhopal,1704495,1905473874.8326716
10,2018,2,bengaluru urban,11916035,23824727965.49048
11,2018,2,pune,5162876,8513428062.925206
12,2018,2,chennai,3719593,7305357440.752291
13,2018,2,central delhi,3589206,6223466821.092629
14,2018,2,mumbai,3277612,6048515205.760132
15,2018,2,jaipur,3175255,4952882923.415596
16,2018,2,hyderabad,3156805,6628159910.681627
17,2018,2,birbhum,2775489,3988930679.767912
18,2018,2,kolkata,2501448,4109821729.8900533
19,2018,2,north twenty four parganas,2119664,2509379355.091834
20,2018,3,bengaluru urban,18405424,33812835282.27632
21,2018,3,central delhi,8165361,10515884583.426525
22,2018,3,pune,7890491,12601613622.467594
23,2018,3,birbhum,6066238,6130627463.516832
24,2018,3,chennai,5887343,10122319547.137985
25,2018,3,hyderabad,5786941,9503554478.108147
26,2018,3,khordha,5333443,4389717266.977921
27,2018,3,bankura,5179457,2464193070.534754
28,2018,3,jaipur,4954443,7882149494.55468
29,2018,3,north twenty four parganas,4856114,4545902671.152222
30,2018,4,bengaluru urban,33061353,50279165003.07312
31,2018,4,pune,11075153,18048884123.019886
32,2018,4,central delhi,9373395,13878492766.290386
33,2018,4,hyderabad,9360515,14727846731.548256
34,2018,4,chennai,8007699,14632395110.56675
35,2018,4,jaipur,7271209,12107341570.492035
36,2018,4,gautam buddha nagar,6083056,7483532543.63562
37,2018,4,mumbai,6060284,11506143747.453331
38,2018,4,rangareddy,5803319,9396311751.227482
39,2018,4,kolkata,5401244,8502095208.881001
40,2019,1,bengaluru urban,65174133,82111161572.76288
41,2019,1,hyderabad,24838664,34892156029.40753
42,2019,1,pune,23360634,32233517413.825317
43,2019,1,jaipur,19178441,25043540802.372772
44,2019,1,rangareddy,12952050,17677048557.63253
45,2019,1,central delhi,12885975,16258175800.83931
46,2019,1,chennai,11642449,18810971714.51368
47,2019,1,gautam buddha nagar,10750094,10286434896.5461
48,2019,1,medchal malkajgiri,10127087,13392043971.075241
49,2019,1,new delhi,10000765,13939472234.96883
50,2019,2,bengaluru urban,89148659,113389910485.89922
51,2019,2,pune,44795652,58398808592.1738
52,2019,2,hyderabad,43511186,73949377453.0185
53,2019,2,jaipur,27449382,46056907216.76753
54,2019,2,new delhi,23313548,36146671717.918365
55,2019,2,rangareddy,16348519,25359412038.382965
56,2019,2,patna,13421445,26125484618.416542
57,2019,2,khordha,13339889,19006076643.493904
58,2019,2,kolkata,13259522,17260848900.77318
59,2019,2,lucknow,12624404,22426462674.94428
60,2019,3,bengaluru urban,131234422,150244275641.79712
61,2019,3,pune,67093416,78128868958.39702
62,2019,3,hyderabad,55159072,96365182751.25804
63,2019,3,jaipur,36334520,58402103360.67965
64,2019,3,new delhi,24687138,43288057341.92169
65,2019,3,rangareddy,23655175,33663962263.155968
66,2019,3,khordha,18364742,25509656902.49331
67,2019,3,medchal malkajgiri,17492750,23256556346.306458
68,2019,3,visakhapatnam,16694947,26944837120.046288
69,2019,3,kolkata,16306691,21451201632.248753
70,2019,4,bengaluru urban,180458808,199966708446.8142
71,2019,4,pune,91666565,103270644868.1607
72,2019,4,hyderabad,72987282,130230415629.3025
73,2019,4,jaipur,44335592,81782144762.48987
74,2019,4,rangareddy,31237803,44757331443.568375
75,2019,4,new delhi,29048107,54398427887.76768
76,2019,4,khordha,27477393,34227232121.528633
77,2019,4,visakhapatnam,23594874,39133296330.044624
78,2019,4,medchal malkajgiri,22999944,31417907129.793076
79,2019,4,kolkata,21917627,26475748918.32508
80,2020,1,bengaluru urban,200174352,231970686013.7528
81,2020,1,pune,107497963,119146177775.3236
82,2020,1,hyderabad,94177232,183207208610.81787
83,2020,1,jaipur,52623661,98360847993.80875
84,2020,1,rangareddy,31802492,45881228273.95146
85,2020,1,visakhapatnam,27115031,48809747614.678894
86,2020,1,medchal malkajgiri,25458101,37404467180.931694
87,2020,1,central delhi,24757650,41219414205.0607
88,2020,1,mumbai suburban,23598054,40462122569.6479
89,2020,1,khordha,23152370,39755139238.6053
90,2020,2,bengaluru urban,132120979,176357097466.7659
91,2020,2,pune,58840981,94890914730.75931
92,2020,2,hyderabad,56374644,130820061488.30273
93,2020,2,jaipur,43871862,88270816977.90562
94,2020,2,visakhapatnam,25300401,48293889917.41437
95,2020,2,rangareddy,18068048,31273545586.261536
96,2020,2,medchal malkajgiri,17860704,29732057894.607735
97,2020,2,central delhi,17641823,30418597739.3527
98,2020,2,khordha,16842715,34814877058.416145
99,2020,2,ahmadabad,16430916,32731896547.150326
100,2020,3,bengaluru urban,188947684,261095181780.0901
101,2020,3,pune,101472134,154366363808.0403
102,2020,3,hyderabad,99285803,228448742377.47607
103,2020,3,jaipur,71797182,138189424031.4575
104,2020,3,visakhapatnam,34421299,67628440368.111465
105,2020,3,central delhi,32203761,61527717933.93762
106,2020,3,rangareddy,29573243,51787722036.044556
107,2020,3,bhopal,29560361,57525605025.512215
108,2020,3,medchal malkajgiri,28698311,48831695001.78223
109,2020,3,khordha,23387123,44638448273.52248
110,2020,4,bengaluru urban,267720411,352536741958.4486
111,2020,4,pune,142350762,182511549425.14316
112,2020,4,hyderabad,117008707,243045184188.2821
113,2020,4,jaipur,82378485,159641718978.41748
114,2020,4,rangareddy,53405219,89256130453.08658
115,2020,4,medchal malkajgiri,49900746,81801106073.41168
116,2020,4,visakhapatnam,46551467,91879823025.40399
117,2020,4,bhopal,38492334,67905952477.88091
118,2020,4,central delhi,32194168,61575435521.28284
119,2020,4,mumbai suburban,31947471,52567087497.07483
120,2021,1,bengaluru urban,348712787,432401341231.7671
121,2021,1,pune,208930588,253623629237.65796
122,2021,1,hyderabad,169703372,316572388133.7874
123,2021,1,jaipur,125917532,223771205713.25284
124,2021,1,bhopal,67309234,101725720745.41443
125,2021,1,rangareddy,60675056,98883148961.30931
126,2021,1,medchal malkajgiri,54854446,87516738646.29623
127,2021,1,central delhi,54173342,90711721159.77658
128,2021,1,mumbai suburban,49079788,75911506798.24135
129,2021,1,visakhapatnam,48248923,95308386037.8472
130,2021,2,bengaluru urban,326804307,444422398357.67755
131,2021,2,pune,218732925,298657497266.993
132,2021,2,hyderabad,212326623,424872741465.13696
133,2021,2,jaipur,137247139,248390977964.5579
134,2021,2,bhopal,74643630,127038866031.39793
135,2021,2,rangareddy,63155281,113987187628.93881
136,2021,2,central delhi,62131856,100895875737.76093
137,2021,2,medchal malkajgiri,58755991,102864360004.68025
138,2021,2,visakhapatnam,54390299,114439012713.35336
139,2021,2,patna,53400850,114936398151.99364
140,2021,3,bengaluru urban,476485560,626123198813.8513
141,2021,3,pune,303322956,372243656247.4718
142,2021,3,hyderabad,262028284,479343321365.3726
143,2021,3,jaipur,193839196,313664435689.29987
144,2021,3,bhopal,103403998,146735124186.2163
145,2021,3,central delhi,88849847,137311394953.58371
146,2021,3,rangareddy,87884143,147772047919.14047
147,2021,3,medchal malkajgiri,79514766,130838255095.6952
148,2021,3,khordha,71647985,108452202806.23244
149,2021,3,visakhapatnam,69220981,136945652159.26515
150,2021,4,bengaluru urban,584958847,755926042210.8081
151,2021,4,pune,371337618,454584743765.05554
152,2021,4,hyderabad,325636475,582079170534.0186
153,2021,4,jaipur,231804892,394435778364.0141
154,2021,4,bhopal,134176541,190196223229.17587
155,2021,4,rangareddy,111354739,188838966046.13513
156,2021,4,central delhi,111134916,177625511230.04297
157,2021,4,medchal malkajgiri,98780634,164568262330.06238
158,2021,4,khordha,94505879,135122128258.68542
159,2021,4,mumbai suburban,92733033,134616103622.6073
160,2022,1,bengaluru urban,648380838,837938769153.0938
161,2022,1,pune,424149132,508475101454.5797
162,2022,1,hyderabad,372711414,661512502141.0775
163,2022,1,jaipur,262950613,434507898653.22876
164,2022,1,bhopal,159892411,221096758835.27948
165,2022,1,central delhi,128309915,198072597274.588
166,2022,1,rangareddy,127675017,216609881380.40106
167,2022,1,medchal malkajgiri,110893187,185168270983.38605
168,2022,1,mumbai suburban,104595313,148080835860.6061
169,2022,1,khordha,104052705,152745328927.4852
170,2022,2,bengaluru urban,786978117,1013933810932.2711
171,2022,2,pune,520321567,620747087392.5974
172,2022,2,hyderabad,446470234,775908693266.7238
173,2022,2,jaipur,314511010,497492495896.22046
174,2022,2,bhopal,185588829,255910395858.58392
175,2022,2,rangareddy,161888380,267052522620.51453
176,2022,2,central delhi,159034619,232911858055.0848
177,2022,2,medchal malkajgiri,134114768,221257316347.71973
178,2022,2,mumbai suburban,125227570,172590494011.93738
179,2022,2,khordha,124986765,174299128204.99298
180,2022,3,hyderabad,1018658174,1586047443981.7903
181,2022,3,bengaluru urban,738035161,930886457807.8191
182,2022,3,pune,505018506,549531791371.8348
183,2022,3,jaipur,377469909,564818218571.2906
184,2022,3,central delhi,243139962,327191972497.86694
185,2022,3,mumbai suburban,197724164,247678975470.48975
186,2022,3,patna,188665398,298860414441.2887
187,2022,3,khordha,182514532,234713995654.54218
188,2022,3,chhindwara,169367916,236429180484.7117
189,2022,3,rangareddy,169029273,272598081405.12262
190,2022,4,hyderabad,1133829812,1753799022390.8733
191,2022,4,bengaluru urban,876647100,1092079302011.8888
192,2022,4,pune,544687754,590334491443.0927
193,2022,4,jaipur,404922774,635458549842.8215
194,2022,4,central delhi,280960656,386107883617.5307
195,2022,4,mumbai suburban,248827345,310278216439.5166
196,2022,4,chhindwara,245710341,350638062974.85736
197,2022,4,patna,217434851,352393762150.454
198,2022,4,khordha,208260666,268479766618.40594
199,2022,4,rangareddy,191136402,295773661437.69385
200,2023,1,bengaluru urban,1012347596,1167307214747.0
201,2023,1,pune,505841046,489824129517.0
202,2023,1,rangareddy,329344012,487359310308.0
203,2023,1,hyderabad,286887382,415188829698.0
204,2023,1,medchal malkajgiri,256028955,382423152200.0
205,2023,1,jaipur,250101628,383391511211.0
206,2023,1,visakhapatnam,164358781,277211090180.0
207,2023,1,thane,142097640,164652846524.0
208,2023,1,gurugram,139674963,149429170153.0
209,2023,1,gautam buddha nagar,130607154,135979906082.0
210,2023,2,bengaluru urban,1124713207,1308665877658.0
211,2023,2,pune,554427668,535801107518.0
212,2023,2,rangareddy,384456496,561147925919.0
213,2023,2,hyderabad,328016262,467328236325.0
214,2023,2,medchal malkajgiri,296231089,434043629718.0
215,2023,2,jaipur,291245541,414094307123.0
216,2023,2,visakhapatnam,184918179,303874597259.0
217,2023,2,gurugram,168827725,167788722810.0
218,2023,2,gautam buddha nagar,157681545,150948217823.0
219,2023,2,thane,155714593,178939371434.0
