,Year,Quarter,Pincodes,User_Count,Amount
0,2018,1,560001,2917356,4684262246.184548
1,2018,1,110006,2636324,3714139312.238586
2,2018,1,400008,2227885,3105208723.475169
3,2018,1,600003,2010196,2997847000.265506
4,2018,1,731101,1764956,2366771285.7278423
5,2018,1,700009,1390629,1851145374.4001179
6,2018,1,411001,1055656,1413523605.5956619
7,2018,1,500012,933013,1643061976.4262943
8,2018,1,462001,832846,898730606.684653
9,2018,1,201301,690196,987613438.9540119
10,2018,2,560001,3777086,7545089760.607167
11,2018,2,110006,3069733,5237594871.124264
12,2018,2,600003,2771900,5194488793.022476
13,2018,2,400008,2631405,4703762207.003538
14,2018,2,731101,2134258,3697928407.603048
15,2018,2,700009,1473202,2566583723.725673
16,2018,2,411001,1316115,2145613783.5507011
17,2018,2,500012,1024336,2257038218.1929708
18,2018,2,201301,971854,1673280979.3831716
19,2018,2,462001,928983,1443626493.1959715
20,2018,3,110006,7198882,9029499185.157822
21,2018,3,560001,5764203,10161197002.295376
22,2018,3,600003,4430587,7070098756.153783
23,2018,3,400008,3111609,5436005565.19679
24,2018,3,731101,2644866,4429377129.783087
25,2018,3,700009,2531420,3555553312.5767612
26,2018,3,500012,1726388,3077635699.337487
27,2018,3,411001,1689517,2829639683.4067717
28,2018,3,221001,1439623,671779876.5266988
29,2018,3,201301,1438458,2181626866.4046803
30,2018,4,560001,7725284,14030425393.295612
31,2018,4,110006,7532374,11605568511.039162
32,2018,4,600003,5539392,10066365923.24963
33,2018,4,400008,4586309,8474903607.1238575
34,2018,4,731101,3284268,5847016363.011223
35,2018,4,700009,2939284,4991163446.523161
36,2018,4,500012,2576408,4841883809.168822
37,2018,4,201301,2504916,3217987818.841588
38,2018,4,411001,2176631,3917444399.4306126
39,2018,4,560068,1630650,1941175277.185885
40,2019,1,560001,16241340,23597361226.512825
41,2019,1,110006,10251048,13201959766.05106
42,2019,1,500012,9957548,15399177052.931395
43,2019,1,600003,8217185,12799152324.27052
44,2019,1,110011,6689740,9632804730.117004
45,2019,1,400008,6494529,10238553958.763014
46,2019,1,700009,6353573,7885002278.529919
47,2019,1,411006,5641935,9202990658.018358
48,2019,1,302001,4954219,7600396570.221162
49,2019,1,201301,4596696,4223121104.413077
50,2019,2,560001,27169035,40026681539.0066
51,2019,2,500012,23303184,42709920754.79193
52,2019,2,411006,22544991,34073354893.758354
53,2019,2,110011,20001452,31366326747.68567
54,2019,2,302001,14130072,26047079270.71371
55,2019,2,700009,9694969,12068405239.946836
56,2019,2,800015,9362673,19331794343.882797
57,2019,2,226004,8966947,16438621373.818607
58,2019,2,751002,8318660,12733845249.989027
59,2019,2,600003,6992850,13700604318.48539
60,2019,3,560001,34182229,49823702321.09828
61,2019,3,500012,27360144,55516914964.120514
62,2019,3,411006,25995035,42031275308.282005
63,2019,3,110011,20159577,36968948004.60185
64,2019,3,302001,15037317,31903765546.790287
65,2019,3,700009,11494363,14573984421.133255
66,2019,3,751002,9990982,16300297217.157505
67,2019,3,800015,8554034,21451659382.23745
68,2019,3,400008,7234595,14467758895.186302
69,2019,3,226004,6687157,17110382946.6282
70,2019,4,560001,48600127,67204107791.7798
71,2019,4,411006,32779718,51360244641.273315
72,2019,4,500012,32637373,67244225971.71475
73,2019,4,110011,22861243,44827058149.79611
74,2019,4,302001,17153003,41220743922.1253
75,2019,4,700009,16310685,18429094743.25623
76,2019,4,751002,13743261,19669451911.7042
77,2019,4,400008,10498727,22289347327.905037
78,2019,4,800015,10441675,26228173437.46787
79,2019,4,600003,10008230,21375916666.727257
80,2020,1,500001,63671159,139394865595.49792
81,2020,1,560001,57330889,81134886975.52737
82,2020,1,411004,43278566,64894935103.99599
83,2020,1,302016,24180734,56174137377.66255
84,2020,1,110006,19881142,34803706848.31907
85,2020,1,600003,14352747,29310364582.884754
86,2020,1,110001,13167147,27716426760.692245
87,2020,1,700009,13084249,24503076745.659294
88,2020,1,751001,11782987,25543182753.84958
89,2020,1,400070,10817537,21066837485.651253
90,2020,2,500001,39752686,101961882246.87434
91,2020,2,560001,38973791,66590268182.415665
92,2020,2,411004,27617700,58352702890.56202
93,2020,2,302016,22032140,53610675078.51194
94,2020,2,110006,14401400,26006450222.981194
95,2020,2,110001,9780539,21370003546.27849
96,2020,2,800001,9603835,29875811977.924408
97,2020,2,751001,9411361,23813152297.287315
98,2020,2,600003,8641869,22394007817.575096
99,2020,2,380001,8490730,21210698645.19712
100,2020,3,500001,70732132,177532009421.7673
101,2020,3,560001,56516908,95602796543.47356
102,2020,3,411004,49082232,94100767700.43585
103,2020,3,302016,34723808,78104750484.0607
104,2020,3,110006,27731187,53768475790.81149
105,2020,3,462008,18608188,42836925858.3958
106,2020,3,800001,14656027,41210183921.21666
107,2020,3,700009,14161961,35897930520.847115
108,2020,3,751001,11770940,27337331950.38349
109,2020,3,110001,11598940,25361403335.98009
110,2020,4,500001,63797806,154104662898.10648
111,2020,4,560001,56310863,93518053649.26508
112,2020,4,411004,48628369,83733590846.60262
113,2020,4,302016,31028451,71599277148.69725
114,2020,4,110006,24969702,48831647275.471146
115,2020,4,462008,20637374,44520942803.43778
116,2020,4,800001,14983099,39976507362.54611
117,2020,4,600003,11690163,26114457256.846283
118,2020,4,751001,11637193,26523469788.723434
119,2020,4,700009,11305243,28555964654.22016
120,2021,1,560001,111898471,154275126291.57785
121,2021,1,500001,107274281,218270126529.36053
122,2021,1,411004,99287169,142692099313.18896
123,2021,1,302016,65639307,124138636281.23145
124,2021,1,110006,46104924,76683904356.11441
125,2021,1,462008,45920869,76097617508.03972
126,2021,1,800001,30937663,68071234953.67711
127,2021,1,600003,25512152,44939868773.04714
128,2021,1,400070,25090098,39416189451.46673
129,2021,1,751001,24151383,44482729136.236565
130,2021,2,500001,148864777,315432046413.6635
131,2021,2,560001,123224371,183498284704.3348
132,2021,2,411004,120795663,186134320440.93646
133,2021,2,302016,81782827,152295120262.96942
134,2021,2,462008,57596018,101902493881.58667
135,2021,2,110006,54888173,88849307061.74399
136,2021,2,800001,42836603,91781680811.21812
137,2021,2,600003,31694305,54282023022.639435
138,2021,2,751001,30961581,53565783087.01067
139,2021,2,700009,30775525,59587220231.94326
140,2021,3,500001,173430239,335290201877.6652
141,2021,3,560001,171396431,241306340924.00638
142,2021,3,411004,155523883,217400690972.0777
143,2021,3,302016,108659324,179936124302.00922
144,2021,3,110006,77515502,117511789786.64261
145,2021,3,462008,74987334,111259178579.96481
146,2021,3,800001,49086869,90644799090.27641
147,2021,3,444510,45378525,84950919432.04364
148,2021,3,600003,42982007,71274098295.90457
149,2021,3,751001,41875475,65849220632.325775
150,2021,4,500001,213053128,398798138080.5086
151,2021,4,560001,206723470,283864051273.69073
152,2021,4,411004,185423020,259406175394.85846
153,2021,4,302016,130544931,225546213678.03116
154,2021,4,462008,97987017,145639258182.99155
155,2021,4,110006,96850347,152021116180.99402
156,2021,4,800001,61784983,113485175570.40105
157,2021,4,444510,55162139,103212697006.96257
158,2021,4,600003,54054310,83084090738.55415
159,2021,4,751001,52532360,79093274940.53792
160,2022,1,500001,248675599,460948755722.1826
161,2022,1,560001,224793308,308663371704.65454
162,2022,1,411004,209101358,285005833904.6318
163,2022,1,302016,148956604,248958961898.95383
164,2022,1,462008,119378084,172143368941.8931
165,2022,1,110006,112708284,170854549748.09644
166,2022,1,444510,69862188,129741278088.80704
167,2022,1,800001,68427326,126972470461.14954
168,2022,1,600003,62446149,95888452779.63263
169,2022,1,751001,58525215,91210203433.81744
170,2022,2,500001,296874552,536659038240.45605
171,2022,2,560001,271515853,367011500113.69904
172,2022,2,411004,262731186,356436998068.0399
173,2022,2,302016,181570316,290408785688.9401
174,2022,2,110006,139136098,200269818218.75818
175,2022,2,462008,137837715,198147341166.69937
176,2022,2,444510,93575752,168031360482.06287
177,2022,2,800001,90260337,162195041186.36075
178,2022,2,600003,75241472,108938946466.4329
179,2022,2,751001,69262961,101369063330.80547
180,2022,3,500034,832279716,1276247184385.9084
181,2022,3,110006,222465526,294132832922.7636
182,2022,3,302012,220682742,322546632329.7969
183,2022,3,411033,217102802,241609848561.36987
184,2022,3,480001,164538285,229267141662.06653
185,2022,3,560027,160449902,217879670192.8064
186,2022,3,800001,143978604,226644911906.22284
187,2022,3,400070,137051260,170363147506.6858
188,2022,3,751001,123281915,161654599037.78528
189,2022,3,700039,82900479,153815755896.1881
190,2022,4,500034,967508435,1501499856273.482
191,2022,4,560027,290033166,383980424744.5664
192,2022,4,411033,263248580,298971294541.89966
193,2022,4,110006,258183697,349487194869.16797
194,2022,4,302012,255709582,401447081116.4074
195,2022,4,480001,240053791,341860974379.64307
196,2022,4,400070,180508440,226320223720.0673
197,2022,4,800001,167166031,269652534972.60126
198,2022,4,751001,140210762,184650659638.9054
199,2022,4,700039,119193886,219834107643.85355
200,2023,1,500072,48884911,69139644856.0
201,2023,1,560068,48544078,49093973079.0
202,2023,1,560037,36487467,39147776972.0
203,2023,1,201301,34429152,30542090341.0
204,2023,1,560076,31427375,31972479780.0
205,2023,1,500081,31374325,36780272643.0
206,2023,1,560078,30074920,33530112337.0
207,2023,1,500032,28718299,32875192612.0
208,2023,1,560100,27670041,26852310085.0
209,2023,1,560043,27613832,31447437376.0
210,2023,2,500072,58118143,80065833852.0
211,2023,2,560068,54020876,54852308815.0
212,2023,2,560037,41049027,45095955882.0
213,2023,2,201301,40364243,33059188347.0
214,2023,2,500081,37375003,43237645304.0
215,2023,2,500032,34638820,39216208745.0
216,2023,2,560076,34380780,35810435341.0
217,2023,2,560078,33172774,37560041959.0
218,2023,2,560100,31610913,30713650869.0
219,2023,2,411057,30991776,24785623038.0
