,Year,Quarter,District_name,RegisteredUsers
0,2018,1,bengaluru urban,1922368
1,2018,1,pune,1211643
2,2018,1,jaipur,900773
3,2018,1,mumbai suburban,719300
4,2018,1,hyderabad,655175
5,2018,1,rangareddy,635175
6,2018,1,thane,631864
7,2018,1,ahmadabad,572811
8,2018,1,medchal malkajgiri,549429
9,2018,1,visakhapatnam,497187
10,2018,2,bengaluru urban,2553312
11,2018,2,pune,1592293
12,2018,2,jaipur,1182983
13,2018,2,mumbai suburban,957633
14,2018,2,thane,861292
15,2018,2,hyderabad,842483
16,2018,2,rangareddy,804959
17,2018,2,ahmadabad,751746
18,2018,2,medchal malkajgiri,696211
19,2018,2,surat,652372
20,2018,3,bengaluru urban,3167597
21,2018,3,pune,1974138
22,2018,3,jaipur,1438305
23,2018,3,mumbai suburban,1218632
24,2018,3,thane,1104206
25,2018,3,hyderabad,1024241
26,2018,3,rangareddy,963186
27,2018,3,ahmadabad,919252
28,2018,3,medchal malkajgiri,828425
29,2018,3,surat,808005
30,2018,4,bengaluru urban,4126734
31,2018,4,pune,2498852
32,2018,4,jaipur,1733893
33,2018,4,mumbai suburban,1578487
34,2018,4,thane,1473811
35,2018,4,hyderabad,1336872
36,2018,4,rangareddy,1217664
37,2018,4,ahmadabad,1212636
38,2018,4,medchal malkajgiri,1056739
39,2018,4,surat,998807
40,2019,1,bengaluru urban,5003207
41,2019,1,pune,3038402
42,2019,1,jaipur,2060175
43,2019,1,mumbai suburban,1901210
44,2019,1,thane,1834051
45,2019,1,hyderabad,1638436
46,2019,1,rangareddy,1470874
47,2019,1,ahmadabad,1450100
48,2019,1,medchal malkajgiri,1279531
49,2019,1,surat,1180819
50,2019,2,bengaluru urban,5694165
51,2019,2,pune,3514081
52,2019,2,jaipur,2290462
53,2019,2,mumbai suburban,2151657
54,2019,2,thane,2118406
55,2019,2,hyderabad,1856926
56,2019,2,ahmadabad,1656341
57,2019,2,rangareddy,1651300
58,2019,2,medchal malkajgiri,1428880
59,2019,2,surat,1338584
60,2019,3,bengaluru urban,6383771
61,2019,3,pune,4004991
62,2019,3,jaipur,2520933
63,2019,3,mumbai suburban,2407754
64,2019,3,thane,2396815
65,2019,3,hyderabad,2071673
66,2019,3,ahmadabad,1848860
67,2019,3,rangareddy,1826019
68,2019,3,medchal malkajgiri,1572320
69,2019,3,surat,1481391
70,2019,4,bengaluru urban,7016836
71,2019,4,pune,4416899
72,2019,4,jaipur,2746860
73,2019,4,thane,2638051
74,2019,4,mumbai suburban,2630360
75,2019,4,hyderabad,2283903
76,2019,4,ahmadabad,2015947
77,2019,4,rangareddy,2001437
78,2019,4,medchal malkajgiri,1714832
79,2019,4,north twenty four parganas,1638605
80,2020,1,bengaluru urban,7564577
81,2020,1,pune,4802397
82,2020,1,jaipur,2966508
83,2020,1,thane,2878073
84,2020,1,mumbai suburban,2843378
85,2020,1,hyderabad,2483843
86,2020,1,ahmadabad,2185983
87,2020,1,rangareddy,2166829
88,2020,1,medchal malkajgiri,1845599
89,2020,1,north twenty four parganas,1789973
90,2020,2,bengaluru urban,8028070
91,2020,2,pune,5144688
92,2020,2,jaipur,3182014
93,2020,2,thane,3135101
94,2020,2,mumbai suburban,3060916
95,2020,2,hyderabad,2653534
96,2020,2,ahmadabad,2384154
97,2020,2,rangareddy,2313748
98,2020,2,north twenty four parganas,1966125
99,2020,2,medchal malkajgiri,1963353
100,2020,3,bengaluru urban,8611452
101,2020,3,pune,5546002
102,2020,3,jaipur,3433167
103,2020,3,thane,3401853
104,2020,3,mumbai suburban,3304696
105,2020,3,hyderabad,2875965
106,2020,3,ahmadabad,2580178
107,2020,3,rangareddy,2495699
108,2020,3,north twenty four parganas,2143943
109,2020,3,medchal malkajgiri,2111567
110,2020,4,bengaluru urban,9286243
111,2020,4,pune,6033615
112,2020,4,thane,3727358
113,2020,4,jaipur,3679874
114,2020,4,mumbai suburban,3609970
115,2020,4,hyderabad,3142385
116,2020,4,ahmadabad,2787991
117,2020,4,rangareddy,2704868
118,2020,4,north twenty four parganas,2321888
119,2020,4,medchal malkajgiri,2282695
120,2021,1,bengaluru urban,9955387
121,2021,1,pune,6481971
122,2021,1,thane,4014464
123,2021,1,jaipur,3951866
124,2021,1,mumbai suburban,3886500
125,2021,1,hyderabad,3379663
126,2021,1,ahmadabad,2999575
127,2021,1,rangareddy,2906635
128,2021,1,north twenty four parganas,2491076
129,2021,1,surat,2458596
130,2021,2,bengaluru urban,10604609
131,2021,2,pune,6915820
132,2021,2,thane,4290066
133,2021,2,jaipur,4226231
134,2021,2,mumbai suburban,4151227
135,2021,2,hyderabad,3598337
136,2021,2,ahmadabad,3209841
137,2021,2,rangareddy,3097973
138,2021,2,north twenty four parganas,2660664
139,2021,2,surat,2633443
140,2021,3,bengaluru urban,11321012
141,2021,3,pune,7398336
142,2021,3,thane,4597394
143,2021,3,jaipur,4534297
144,2021,3,mumbai suburban,4444495
145,2021,3,hyderabad,3839513
146,2021,3,ahmadabad,3445024
147,2021,3,rangareddy,3310906
148,2021,3,north twenty four parganas,2852030
149,2021,3,surat,2830392
150,2021,4,bengaluru urban,12038775
151,2021,4,pune,7880431
152,2021,4,thane,4906492
153,2021,4,jaipur,4841883
154,2021,4,mumbai suburban,4740546
155,2021,4,hyderabad,4081185
156,2021,4,ahmadabad,3679243
157,2021,4,rangareddy,3523496
158,2021,4,north twenty four parganas,3043008
159,2021,4,surat,3026960
160,2022,1,bengaluru urban,12707664
161,2022,1,pune,8331582
162,2022,1,thane,5196050
163,2022,1,jaipur,5133527
164,2022,1,mumbai suburban,5017556
165,2022,1,hyderabad,4306136
166,2022,1,ahmadabad,3897869
167,2022,1,rangareddy,3722676
168,2022,1,north twenty four parganas,3224459
169,2022,1,surat,3210535
170,2022,2,bengaluru urban,13342916
171,2022,2,pune,8757249
172,2022,2,thane,5471749
173,2022,2,jaipur,5409763
174,2022,2,mumbai suburban,5281053
175,2022,2,hyderabad,4519625
176,2022,2,ahmadabad,4105172
177,2022,2,rangareddy,3911372
178,2022,2,north twenty four parganas,3397791
179,2022,2,surat,3385398
180,2022,3,bengaluru urban,13997602
181,2022,3,pune,9194074
182,2022,3,thane,5757165
183,2022,3,jaipur,5696726
184,2022,3,mumbai suburban,5555095
185,2022,3,hyderabad,4739891
186,2022,3,ahmadabad,4319512
187,2022,3,rangareddy,4105107
188,2022,3,north twenty four parganas,3578500
189,2022,3,surat,3567767
190,2022,4,bengaluru urban,14654455
191,2022,4,pune,9622338
192,2022,4,thane,6042267
193,2022,4,jaipur,5975863
194,2022,4,mumbai suburban,5831539
195,2022,4,hyderabad,4962214
196,2022,4,ahmadabad,4530853
197,2022,4,rangareddy,4296707
198,2022,4,north twenty four parganas,3755017
199,2022,4,surat,3747780
200,2023,1,bengaluru urban,15290372
201,2023,1,pune,10037022
202,2023,1,thane,6314618
203,2023,1,jaipur,6247095
204,2023,1,mumbai suburban,6095695
205,2023,1,hyderabad,5176899
206,2023,1,ahmadabad,4734630
207,2023,1,rangareddy,4483193
208,2023,1,north twenty four parganas,3926974
209,2023,1,surat,3919829
210,2023,2,bengaluru urban,15812243
211,2023,2,pune,10396344
212,2023,2,thane,6552282
213,2023,2,jaipur,6490210
214,2023,2,mumbai suburban,6322778
215,2023,2,hyderabad,5349842
216,2023,2,ahmadabad,4913610
217,2023,2,rangareddy,4638501
218,2023,2,north twenty four parganas,4079270
219,2023,2,surat,4076929
